City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Tecoanapa,MX,2021-11-06 11:38:02,16.5167,-98.75,74.7,85,98,3.8
158,Turukhansk,RU,2021-11-06 11:38:02,65.8167,87.9833,10.65,97,97,9.62
159,Khandyga,RU,2021-11-06 11:38:03,62.6667,135.6,-0.22,97,100,4.36
160,Egvekinot,RU,2021-11-06 11:38:03,66.3167,-179.1667,-11.67,86,2,2.19
161,The Valley,AI,2021-11-06 11:38:04,18.217,-63.0578,82.26,74,40,14.97
162,Lata,PT,2021-11-06 11:38:04,40.1629,-8.3327,60.35,40,0,9.37
163,Tsimlyansk,RU,2021-11-06 11:38:04,47.6461,42.1019,55.2,42,65,11.36
164,Topeka,US,2021-11-06 11:38:05,39.0483,-95.678,45.1,88,1,0.0
165,Glendive,US,2021-11-06 11:38:05,47.1053,-104.7125,38.82,70,1,4.61
166,Liverpool,GB,2021-11-06 11:38:06,53.4106,-2.9779,57.61,79,40,5.99
167,Mumbwa,ZM,2021-11-06 11:38:06,-14.9783,27.0619,96.28,12,58,9.73
168,Sioux Lookout,CA,2021-11-06 11:38:07,50.1001,-91.917,42.87,87,90,4.61
169,Torbay,CA,2021-11-06 11:35:33,47.6666,-52.7314,37.38,92,75,17.27
170,Tuatapere,NZ,2021-11-06 11:38:07,-46.1333,167.6833,53.82,89,98,1.99
171,Labuhan,ID,2021-11-06 11:38:08,-6.8844,112.2051,83.97,71,93,6.62
172,Harper,LR,2021-11-06 11:38:08,4.375,-7.7169,83.21,70,91,7.45
173,Ponnani,IN,2021-11-06 11:38:08,10.767,75.9252,85.32,80,100,6.02
174,Sabancuy,MX,2021-11-06 11:38:09,18.9667,-91.1833,74.82,71,35,8.68
175,Praia,CV,2021-11-06 11:38:09,14.9215,-23.5087,84.74,48,0,17.27
176,Nikolskoye,RU,2021-11-06 11:38:10,59.7035,30.7861,42.69,75,99,10.54
177,Saldanha,ZA,2021-11-06 11:38:10,-33.0117,17.9442,71.65,62,49,16.44
178,Hay River,CA,2021-11-06 11:38:11,60.8156,-115.7999,30.18,93,90,3.44
179,Bubaque,GW,2021-11-06 11:38:11,11.2833,-15.8333,83.53,73,60,8.88
180,Sfantu Gheorghe,RO,2021-11-06 11:38:11,45.8667,25.7833,56.26,84,100,2.1
181,Rio Grande,BR,2021-11-06 11:38:12,-32.035,-52.0986,61.95,84,100,17.9
182,Charlestown,AU,2021-11-06 11:39:12,-32.95,151.6667,68.83,77,79,3.0
183,Kalmunai,LK,2021-11-06 11:39:13,7.4167,81.8167,80.42,81,99,4.83
184,Mount Isa,AU,2021-11-06 11:39:13,-20.7333,139.5,85.77,42,40,5.75
185,Killin,US,2021-11-06 11:39:14,33.6123,-91.7412,35.69,93,1,0.0
186,Bereznik,RU,2021-11-06 11:39:14,62.8551,42.7072,41.97,82,96,9.19
187,Pakenham,AU,2021-11-06 11:39:15,-38.0667,145.4833,66.34,70,99,4.0
188,Mizdah,LY,2021-11-06 11:39:15,31.4451,12.9801,89.2,12,62,17.72
189,Mahebourg,MU,2021-11-06 11:39:16,-20.4081,57.7,82.69,69,40,11.5
190,Warkworth,NZ,2021-11-06 11:39:16,-36.4,174.6667,60.49,93,3,1.81
191,Kavaratti,IN,2021-11-06 11:39:16,10.5669,72.642,82.47,75,89,13.53
192,Quthing,LS,2021-11-06 11:39:17,-30.4,27.7003,83.53,13,76,25.46
193,Ginda,IN,2021-11-06 11:39:17,30.6945,78.4932,52.61,65,44,2.3
194,Payo,ID,2021-11-06 11:39:18,-3.7508,103.6372,75.96,95,95,1.74
195,Thompson,CA,2021-11-06 11:39:18,55.7435,-97.8558,33.96,86,75,8.05
196,Palembang,ID,2021-11-06 11:39:19,-2.9167,104.7458,87.89,66,40,3.44
197,Sur,OM,2021-11-06 11:39:19,22.5667,59.5289,83.16,41,4,9.55
198,Alofi,NU,2021-11-06 11:39:20,-19.0595,-169.9187,73.29,88,54,8.05
199,Victoria,HK,2021-11-06 11:39:20,22.2855,114.1577,81.32,80,18,1.99
200,Allapalli,IN,2021-11-06 11:39:21,19.4167,80.0667,74.01,60,52,3.31
201,Kargasok,RU,2021-11-06 11:39:21,59.0556,80.8572,31.17,92,100,11.81
202,Chuy,UY,2021-11-06 11:39:21,-33.6971,-53.4616,64.17,62,96,14.74
203,Marondera,ZW,2021-11-06 11:39:22,-18.1853,31.5519,90.36,13,7,10.54
204,Berlevag,NO,2021-11-06 11:39:22,70.8578,29.0864,33.8,77,100,28.34
205,Sampit,ID,2021-11-06 11:39:23,-2.5333,112.95,77.16,95,98,3.0
206,Garowe,SO,2021-11-06 11:39:23,8.4054,48.4845,90.36,18,51,6.78
207,Alexandria,EG,2021-11-06 11:39:23,31.2156,29.9553,80.56,54,20,11.5
208,Weihe,CN,2021-11-06 11:39:24,32.9952,105.3247,29.32,78,100,13.24
209,Saint Anthony,US,2021-11-06 11:39:24,45.0205,-93.218,47.53,82,1,3.0
210,Kulhudhuffushi,MV,2021-11-06 11:39:25,6.6221,73.07,81.14,80,65,18.54
211,Kaeo,NZ,2021-11-06 11:39:25,-35.1,173.7833,56.32,93,47,2.89
212,Guerrero Negro,MX,2021-11-06 11:39:26,27.9769,-114.0611,63.59,90,4,5.14
213,Tiksi,RU,2021-11-06 11:39:26,71.6872,128.8694,1.94,89,100,11.9
214,Gamba,GA,2021-11-06 11:39:27,-2.65,10.0,82.02,75,100,8.37
215,Broome,US,2021-11-06 11:39:27,42.2506,-75.833,32.07,82,1,0.0
216,Mackay,AU,2021-11-06 11:39:28,-21.15,149.2,76.98,73,75,10.36
217,Volksrust,ZA,2021-11-06 11:39:28,-27.3654,29.8818,86.4,19,72,12.71
218,Kruisfontein,ZA,2021-11-06 11:39:29,-34.0033,24.7314,64.89,62,100,6.38
219,Verkhoyansk,RU,2021-11-06 11:39:29,67.5447,133.385,3.83,87,100,5.7
220,Vilyuysk,RU,2021-11-06 11:39:29,63.7553,121.6247,10.09,93,100,7.56
221,Alyangula,AU,2021-11-06 11:39:30,-13.8483,136.4192,84.07,70,6,5.75
222,Weiser,US,2021-11-06 11:39:30,44.251,-116.9693,50.31,72,100,4.52
223,Kyabe,TD,2021-11-06 11:39:31,9.4515,18.9449,99.48,26,6,4.56
224,Bom Jesus,BR,2021-11-06 11:39:31,-9.0744,-44.3586,76.21,87,100,3.53
225,Marinette,US,2021-11-06 11:39:31,45.1,-87.6307,44.96,61,90,14.97
226,Vrangel,RU,2021-11-06 11:40:32,42.7297,133.0839,52.3,92,69,3.71
227,Tessalit,ML,2021-11-06 11:40:32,20.1986,1.0114,95.85,10,4,2.46
228,Shu,KZ,2021-11-06 11:40:33,43.5983,73.7614,33.06,44,0,7.45
229,Kirensk,RU,2021-11-06 11:40:33,57.7853,108.1119,21.9,91,100,13.49
230,Yellowknife,CA,2021-11-06 11:36:58,62.456,-114.3525,30.42,100,90,8.05
231,Shubarshi,KZ,2021-11-06 11:40:34,48.5872,57.1869,39.88,15,7,7.27
232,Pa Sang,TH,2021-11-06 11:40:34,18.5262,98.9394,81.82,85,25,0.54
233,Biltine,TD,2021-11-06 11:40:35,14.5333,20.9167,97.05,13,0,7.09
234,Cherepet,RU,2021-11-06 11:40:35,54.1178,36.3788,46.92,77,87,13.53
235,Ankazoabo,MG,2021-11-06 11:40:36,-22.2833,44.5167,99.48,7,1,12.08
236,Lompoc,US,2021-11-06 11:38:18,34.6391,-120.4579,54.41,91,90,4.61
237,San Rafael Del Sur,NI,2021-11-06 11:40:37,11.8485,-86.4384,73.38,91,100,3.76
238,Phan Thiet,VN,2021-11-06 11:40:37,10.9333,108.1,78.58,91,15,7.94
239,Beringovskiy,RU,2021-11-06 11:40:38,63.05,179.3167,4.71,80,47,5.66
240,Raudeberg,NO,2021-11-06 11:40:38,61.9875,5.1352,42.87,81,88,1.01
241,Matara,LK,2021-11-06 11:40:38,5.9485,80.5353,78.93,87,92,12.44
242,Nago,JP,2021-11-06 11:40:39,26.5881,127.9761,77.85,82,99,15.37
243,Santa Quiteria Do Maranhao,BR,2021-11-06 11:40:39,-3.5156,-42.5467,87.91,54,62,7.11
244,Kununurra,AU,2021-11-06 11:39:03,-15.7667,128.7333,87.78,66,40,11.5
245,Vila,PT,2021-11-06 11:40:40,42.0304,-8.1588,48.74,51,10,3.62
246,Antalaha,MG,2021-11-06 11:40:40,-14.9003,50.2788,82.17,61,39,13.38
247,Upernavik,GL,2021-11-06 11:40:41,72.7868,-56.1549,10.81,77,1,6.73
248,Muravlenko,RU,2021-11-06 11:40:41,63.7898,74.523,33.01,98,100,22.46
249,Pimentel,PE,2021-11-06 11:40:42,-6.8367,-79.9342,62.89,82,0,12.66
250,Ahipara,NZ,2021-11-06 11:40:42,-35.1667,173.1667,57.74,95,53,2.55
